date,hits
2019-04-06,235753072
2019-04-07,255104928
2019-04-08,242993184
2019-04-09,227602416
2019-04-10,249350192
2019-04-11,280565472
2019-04-12,330667264
2019-04-13,392230848
2019-04-14,425034432
2019-04-15,462897184
2019-04-16,500496000
2019-04-17,477045152
2019-04-18,381324544
2019-04-19,291827616
2019-04-20,236883904
2019-04-21,180340432
2019-04-22,136135920
2019-04-23,185134240
2019-04-24,204241376
2019-04-25,211280880
2019-04-26,228778736
2019-04-27,229190560
2019-04-28,226094272
2019-04-29,235703040
2019-04-30,246544160
2019-05-01,273679040
2019-05-02,311131008
2019-05-03,328325664
2019-05-04,373578528
2019-05-05,429329024
2019-05-06,463990624
2019-05-07,451901344
2019-05-08,418106560
2019-05-09,354121824
2019-05-10,291170944
2019-05-11,249537664
2019-05-12,207677344
2019-05-13,187196192
2019-05-14,249596016
2019-05-15,245164112
2019-05-16,228873360
2019-05-17,256034432
2019-05-18,242705984
2019-05-19,260064640
2019-05-20,281779712
2019-05-21,308482144
2019-05-22,309398240
2019-05-23,287706208
2019-05-24,263923904
2019-05-25,234985728
2019-05-26,219887424
2019-05-27,229215232
2019-05-28,303651136
2019-05-29,291641504
2019-05-30,247439840
2019-05-31,237410784
2019-06-01,210317312
2019-06-02,238385360
2019-06-03,263378832
2019-06-04,254735376
2019-06-05,282552224
2019-06-06,287098144
2019-06-07,280697632
2019-06-08,260869584
2019-06-09,235696688
2019-06-10,217475488
2019-06-11,218107584
2019-06-12,277580288
2019-06-13,278744544
2019-06-14,258201216
2019-06-15,266285056
2019-06-16,244102960
2019-06-17,254131472
2019-06-18,267977120
2019-06-19,307736864
2019-06-20,332023040
2019-06-21,310957696
2019-06-22,278546944
2019-06-23,243779552
2019-06-24,214955584
2019-06-25,202964640
2019-06-26,267476976
2019-06-27,258692976
2019-06-28,233798544
2019-06-29,255383232
2019-06-30,240267984
2019-07-01,273746272
2019-07-02,307009216
2019-07-03,332427872
2019-07-04,312817088
2019-07-05,296670848
2019-07-06,275746944
2019-07-07,257427936
2019-07-08,251810032
2019-07-09,263530832
2019-07-10,308547104
2019-07-11,356657248
2019-07-12,336794432
2019-07-13,275787200
2019-07-14,236145552
2019-07-15,190767408
2019-07-16,163691136
2019-07-17,221831680
2019-07-18,238948672
2019-07-19,237144896
2019-07-20,261119792
2019-07-21,245246256
2019-07-22,226219328
2019-07-23,252728704
2019-07-24,299046400
2019-07-25,314872480
2019-07-26,349060096
2019-07-27,371228224
2019-07-28,393749248
2019-07-29,395159552
2019-07-30,367488384
2019-07-31,321518976
2019-08-01,278619392
2019-08-02,244227696
2019-08-03,217799136
2019-08-04,217795936
2019-08-05,302375904
2019-08-06,272389504
2019-08-07,228350816
2019-08-08,239007152
2019-08-09,229098752
2019-08-10,287182944
2019-08-11,360539776
2019-08-12,391019360
2019-08-13,444006624
2019-08-14,459681632
2019-08-15,485896672
2019-08-16,463568480
2019-08-17,363152096
2019-08-18,287983584
2019-08-19,237195792
2019-08-20,188359376
2019-08-21,158633360
2019-08-22,220959872
2019-08-23,235412896
2019-08-24,232672496
2019-08-25,256810560
2019-08-26,242199344
2019-08-27,227846720
2019-08-28,260096192
2019-08-29,303412736
2019-08-30,344335104
2019-08-31,392832672
2019-09-01,439605760
2019-09-02,468399520
2019-09-03,486104288
2019-09-04,455904800
2019-09-05,361589632
2019-09-06,286505696
2019-09-07,235650336
2019-09-08,185178432
2019-09-09,153420432
2019-09-10,210917072
2019-09-11,227830400
2019-09-12,229091520
2019-09-13,251408480
2019-09-14,241924784
2019-09-15,228266128
2019-09-16,252633264
2019-09-17,281549568
2019-09-18,333989728
2019-09-19,389784800
2019-09-20,417613056
2019-09-21,424042848
2019-09-22,470111008
2019-09-23,465421888
2019-09-24,370452992
2019-09-25,290741088
2019-09-26,237973968
2019-09-27,187113504
2019-09-28,151055008
2019-09-29,208847232
2019-09-30,225733184
2019-10-01,226711056
2019-10-02,249421040
2019-10-03,241625840
2019-10-04,228871488
2019-10-05,251836352
2019-10-06,278450624
2019-10-07,329556544
2019-10-08,377846400
2019-10-09,422099936
2019-10-10,436133440
2019-10-11,470078720
2019-10-12,470117088
2019-10-13,388182048
2019-10-14,299490400
2019-10-15,247987904
2019-10-16,194387600
2019-10-17,154733024
2019-10-18,203893328
2019-10-19,216770720
2019-10-20,219564512
2019-10-21,242467168
2019-10-22,240577408
2019-10-23,234062272
2019-10-24,250809552
2019-10-25,265967520
2019-10-26,300342528
2019-10-27,324303168
2019-10-28,354912544
2019-10-29,405138176
2019-10-30,440125056
2019-10-31,431357696
2019-11-01,401485856
2019-11-02,350030624
2019-11-03,293194752
2019-11-04,254797760
2019-11-05,218017424
2019-11-06,201428240
2019-11-07,253443760
2019-11-08,261510656
2019-11-09,245439568
2019-11-10,269435008
2019-11-11,250554336
2019-11-12,252749904
2019-11-13,246071424
2019-11-14,256624000
2019-11-15,288419648
2019-11-16,323133696
2019-11-17,317490048
2019-11-18,280314976
2019-11-19,251073776
2019-11-20,215237488
2019-11-21,199177328
2019-11-22,244563200
2019-11-23,247957856
2019-11-24,238818448
2019-11-25,264897696
2019-11-26,253573376
2019-11-27,263968688
2019-11-28,265579968
2019-11-29,271435968
2019-11-30,275548224
2019-12-01,273512960
2019-12-02,267257696
2019-12-03,258572160
2019-12-04,253122048
2019-12-05,257407728
2019-12-06,277847968
2019-12-07,309706240
2019-12-08,319398304
2019-12-09,291527808
2019-12-10,263415152
2019-12-11,227106288
2019-12-12,204602800
2019-12-13,208020416
2019-12-14,250832192
2019-12-15,259095120
2019-12-16,260833744
2019-12-17,272949920
2019-12-18,241923392
2019-12-19,226456048
2019-12-20,197487184
2019-12-21,228462672
2019-12-22,246472416
2019-12-23,242975184
2019-12-24,270980512
2019-12-25,269522528
2019-12-26,256210432
2019-12-27,239670400
2019-12-28,218681984
2019-12-29,223886176
2019-12-30,269543040
2019-12-31,277467648
